ds,y
2019-10-01,133612
2019-10-01,161811
2019-10-01,304423
2019-10-01,66184
2019-10-01,32156
2019-10-01,69923
2019-10-01,6
2019-10-01,161961
2019-10-01,84858
2019-10-01,79306
2019-10-01,170152
2019-10-01,63417
2019-10-01,34621
2019-10-01,118080
2019-10-01,235118
2019-10-01,184117
2019-10-01,56327
2019-10-01,125702
2019-10-01,17412
2019-10-01,113496
2019-10-01,130354
2019-10-01,168817
2019-10-01,190064
2019-10-01,89940
2019-10-01,19121
2019-10-01,76392
2019-10-01,69890
2019-10-01,219552
2019-10-01,67096
2019-10-01,195779
2019-10-01,235719
2019-10-01,89813
2019-10-01,107174
2019-10-01,113932
2019-10-01,74935
2019-10-01,121987
2019-10-01,73050
2019-10-01,93695
2019-10-01,238944
2019-10-01,267899
2019-10-01,148410
2019-10-01,130970
2019-10-01,71484
2019-10-01,114712
2019-10-01,53454
2019-10-01,38493
2019-10-01,122212
2019-10-01,110361
2019-10-01,98377
2019-10-01,67811
2019-10-01,10968
2019-10-01,140946
2019-10-01,97011
2019-10-01,98498
2019-10-01,8084
2019-10-01,64433
2019-10-01,74781
2019-10-01,175902
2019-10-01,240359
2019-10-01,151930
2019-10-01,26233
2019-10-01,84322
2019-10-01,165563
2019-10-01,172354
2019-10-01,357200
2019-10-01,305289
2019-10-01,134081
2019-10-01,146183
2019-10-01,256847
2019-10-01,419215
2019-09-01,168280
2019-09-01,226659
2019-09-01,65927
2019-09-01,27415
2019-09-01,31068
2019-09-01,35035
2019-09-01,39899
2019-09-01,26059
2019-09-01,22150
2019-09-01,31089
2019-09-01,15254
2019-09-01,33743
2019-09-01,35598
2019-09-01,40135
2019-09-01,43454
2019-09-01,45130
2019-09-01,94658
2019-09-01,35616
2019-09-01,64056
2019-09-01,41866
2019-09-01,52599
2019-09-01,43054
2019-09-01,41178
2019-09-01,40024
2019-09-01,14634
2019-09-01,77613
2019-09-01,19850
2019-09-01,22317
2019-09-01,25053
2019-09-01,54919
2019-09-01,22854
2019-09-01,21444
2019-09-01,23924
2019-09-01,55608
2019-09-01,17672
2019-09-01,121252
2019-09-01,23131
2019-09-01,52388
2019-09-01,32943
2019-09-01,21406
2019-09-01,74853
2019-09-01,64498
2019-09-01,50394
2019-09-01,53099
2019-09-01,60351
2019-09-01,36082
2019-09-01,51597
2019-09-01,73492
2019-09-01,88448
2019-09-01,62652
2019-09-01,33502
2019-09-01,97436
2019-09-01,69362
2019-09-01,48819
2019-09-01,47082
2019-09-01,58729
2019-09-01,41475
2019-09-01,58899
2019-09-01,95020
2019-09-01,51051
2019-09-01,93033
2019-09-01,71028
2019-09-01,48766
2019-09-01,56238
2019-09-01,49414
2019-09-01,106748
2019-09-01,79190
2019-09-01,43642
2019-09-01,71705
2019-09-01,43467
2019-09-01,91152
2019-09-01,26369
2019-09-01,42349
2019-09-01,96054
2019-09-01,9637
2019-09-01,53821
2019-09-01,51675
2019-09-01,27761
2019-09-01,64655
2019-09-01,77760
2019-09-01,59770
2019-09-01,150697
2019-09-01,34252
2019-09-01,69704
2019-09-01,89314
2019-09-01,37932
2019-09-01,83690
2019-09-01,30764
2019-09-01,36058
2019-09-01,70447
2019-09-01,35480
2019-09-01,70886
2019-09-01,18189
2019-09-01,60070
2019-09-01,43489
2019-09-01,58363
2019-09-01,44663
2019-09-01,98394
2019-09-01,64740
2019-09-01,35447
2019-09-01,44739
2019-09-01,59772
2019-09-01,114347
2019-09-01,66876
2019-09-01,30338
2019-09-01,77571
2019-09-01,59196
2019-09-01,74184
2019-09-01,42411
2019-09-01,18979
2019-09-01,75772
2019-09-01,86709
2019-09-01,72869
2019-09-01,19720
2019-09-01,15870
2019-09-01,20403
2019-09-01,32864
2019-09-01,57303
2019-09-01,39117
2019-09-01,81380
2019-09-01,17308
2019-09-01,0
2019-09-01,112161
2019-09-01,36110
2019-09-01,38852
2019-09-01,48194
2019-09-01,14429
2019-09-01,42354
2019-09-01,18096
2019-09-01,55114
2019-09-01,85588
2019-09-01,24752
2019-09-01,29743
2019-09-01,22274
2019-09-01,36035
2019-09-01,58308
2019-09-01,67647
2019-09-01,77591
2019-09-01,35692
2019-09-01,53404
2019-09-01,53235
2019-09-01,52932
2019-09-01,70956
2019-09-01,41323
2019-09-01,47366
2019-09-01,32166
2019-09-01,76230
2019-09-01,84011
2019-09-01,16362
2019-09-01,25718
2019-09-01,76798
2019-09-01,67465
2019-09-01,27201
2019-09-01,27194
2019-09-01,29193
2019-09-01,67800
2019-09-01,40072
2019-09-01,65199
2019-09-01,154114
2019-09-01,10849
2019-09-01,56159
2019-09-01,133138
2019-09-01,37761
2019-09-01,44546
2019-09-01,82459
2019-09-01,99067
2019-09-01,93347
2019-09-01,88262
2019-09-01,63393
2019-09-01,63316
2019-09-01,27986
2019-09-01,113751
2019-09-01,40461
2019-09-01,61907
2019-09-01,50226
2019-09-01,48166
2019-09-01,18908
2019-09-01,142302
2019-09-01,63587
2019-09-01,49079
2019-09-01,48888
2019-09-01,82774
2019-09-01,51455
2019-09-01,96318
2019-09-01,61692
2019-09-01,105027
2019-09-01,31021
2019-09-01,47232
2019-09-01,45489
2019-09-01,18278
2019-09-01,33081
2019-09-01,37945
2019-09-01,61817
2019-09-01,67679
2019-09-01,7878
2019-09-01,35803
2019-09-01,44672
2019-09-01,199013
2019-09-01,21431
2019-09-01,117593
2019-09-01,94556
2019-09-01,50051
2019-09-01,120168
2019-09-01,70812
2019-09-01,133133
2019-09-01,91314
2019-09-01,47769
2019-09-01,26955
2019-09-01,182949
2019-09-01,151626
2019-09-01,181564
2019-09-01,125159
2019-09-01,59222
2019-09-01,163128
2019-09-01,138575
2019-09-01,117909
2019-09-01,77105
2019-09-01,39058
2019-09-01,90896
2019-09-01,56398
2019-09-01,93991
2019-09-01,203662
2019-09-01,8648
2019-09-01,123488
2019-09-01,77701
2019-09-01,69088
2019-09-01,71094
2019-09-01,37819
2019-09-01,37377
2019-09-01,100611
2019-09-01,145774
2019-09-01,142578
2019-09-01,163096
2019-09-01,104529
2019-09-01,106698
2019-09-01,71555
2019-09-01,84920
2019-09-01,269834
2019-09-01,61670
2019-09-01,2
2019-09-01,116735
2019-09-01,58355
2019-09-01,16857
2019-09-01,64319
2019-09-01,10483
2019-09-01,60057
2019-09-01,31408
2019-09-01,55527
2019-09-01,55826
2019-09-01,147406
2019-09-01,28440
2019-09-01,25769
2019-09-01,188388
2019-09-01,61592
2019-09-01,75963
2019-09-01,42227
2019-09-01,55859
2019-09-01,172219
2019-09-01,86211
2019-09-01,14566
2019-09-01,72366
2019-09-01,204140
2019-09-01,55634
2019-09-01,116249
2019-09-01,199758
2019-09-01,79863
2019-09-01,84437
2019-09-01,94095
2019-09-01,58994
2019-09-01,107923
2019-09-01,46633
2019-09-01,164865
2019-09-01,33790
2019-09-01,114215
2019-09-01,64730
2019-09-01,107529
2019-09-01,141369
2019-09-01,130886
2019-09-01,100702
2019-09-01,86146
2019-09-01,9914
2019-09-01,161578
2019-09-01,61225
2019-09-01,67432
2019-09-01,237454
2019-09-01,50753
2019-09-01,66047
2019-09-01,109934
2019-09-01,134297
2019-09-01,7275
2019-09-01,103966
2019-09-01,56989
2019-09-01,113731
2019-09-01,189953
2019-09-01,101162
2019-09-01,17470
2019-09-01,98569
2019-09-01,68857
2019-09-01,155071
2019-09-01,151837
2019-09-01,60797
2019-09-01,210009
2019-09-01,204993
2019-09-01,54750
2019-09-01,24274
2019-09-01,93845
2019-09-01,83210
2019-09-01,260406
2019-09-01,311691
2019-09-01,104482
2019-09-01,145778
2019-09-01,210484
2019-09-01,151384
2019-09-01,117901
2019-09-01,128585
2019-08-01,332466
2019-08-01,357984
2019-08-01,168187
2019-08-01,221439
2019-08-01,375401
2019-08-01,324271
2019-08-01,127161
2019-08-01,120626
2019-08-01,277363
2019-08-01,131467
2019-08-01,332498
2019-08-01,66033
2019-08-01,86424
2019-08-01,86618
2019-08-01,111671
2019-08-01,57671
2019-08-01,69699
2019-08-01,59922
2019-08-01,246353
2019-08-01,133909
2019-08-01,78493
2019-08-01,112063
2019-08-01,7405
2019-08-01,219307
2019-08-01,54817
2019-08-01,86958
2019-08-01,161189
2019-08-01,36488
2019-08-01,90350
2019-08-01,111755
2019-08-01,222246
2019-08-01,13806
2019-08-01,204376
2019-08-01,220196
2019-08-01,61955
2019-08-01,51511
2019-08-01,102525
2019-08-01,72506
2019-08-01,46249
2019-08-01,17717
2019-08-01,101519
2019-08-01,66925
2019-08-01,71191
2019-08-01,183741
2019-08-01,128261
2019-08-01,116303
2019-08-01,138992
2019-08-01,68912
2019-08-01,95287
2019-08-01,24229
2019-08-01,144967
2019-08-01,124622
2019-08-01,107870
2019-08-01,173739
2019-08-01,103998
2019-08-01,85304
2019-08-01,9710
2019-08-01,158220
2019-08-01,53439
2019-08-01,203313
2019-08-01,162492
2019-08-01,57299
2019-08-01,76186
2019-08-01,58408
2019-08-01,24145
2019-08-01,65813
2019-08-01,147011
2019-08-01,141082
2019-08-01,58845
2019-08-01,28471
2019-08-01,124165
2019-08-01,105059
2019-08-01,71099
2019-08-01,88052
2019-08-01,96914
2019-08-01,155014
2019-08-01,162387
2019-08-01,61072
2019-08-01,2
2019-08-01,68112
2019-08-01,15228
2019-08-01,77067
2019-08-01,64649
2019-08-01,125766
2019-08-01,43811
2019-08-01,282465
2019-08-01,57087
2019-08-01,108396
2019-08-01,10402
2019-08-01,37649
2019-08-01,31955
2019-08-01,205600
2019-08-01,35592
2019-08-01,73758
2019-08-01,62421
2019-08-01,119685
2019-08-01,51917
2019-08-01,20469
2019-08-01,192029
2019-08-01,204056
2019-08-01,47852
2019-08-01,153732
2019-08-01,56351
2019-08-01,215308
2019-08-01,77153
2019-08-01,125877
2019-08-01,100221
2019-08-01,134207
2019-08-01,124197
2019-08-01,93119
2019-08-01,119330
2019-08-01,40943
2019-08-01,145785
2019-08-01,62930
2019-08-01,68123
2019-08-01,25888
2019-08-01,204906
2019-08-01,8953
2019-08-01,93870
2019-08-01,169718
2019-08-01,95676
2019-08-01,53298
2019-08-01,19345
2019-08-01,84043
2019-08-01,65846
2019-08-01,86648
2019-08-01,71269
2019-08-01,143070
2019-08-01,87332
2019-08-01,64220
2019-08-01,112856
2019-08-01,46677
2019-08-01,68324
2019-08-01,63974
2019-08-01,36513
2019-08-01,26378
2019-08-01,16573
2019-08-01,121652
2019-08-01,26920
2019-08-01,101156
2019-08-01,58103
2019-08-01,8725
2019-08-01,50452
2019-08-01,47962
2019-08-01,63337
2019-08-01,28700
2019-08-01,41294
2019-08-01,112866
2019-08-01,46719
2019-08-01,29766
2019-08-01,32424
2019-08-01,79983
2019-08-01,148000
2019-08-01,93828
2019-08-01,64699
2019-08-01,159890
2019-08-01,49699
2019-08-01,52246
2019-08-01,39016
2019-08-01,68799
2019-08-01,66275
2019-08-01,27266
2019-08-01,77813
2019-08-01,41841
2019-08-01,18810
2019-08-01,41758
2019-08-01,91176
2019-08-01,45783
2019-08-01,11401
2019-08-01,40152
2019-08-01,66287
2019-08-01,52027
2019-08-01,47963
2019-08-01,1
2019-08-01,38978
2019-08-01,19518
2019-08-01,39907
2019-08-01,43435
2019-08-01,84870
2019-08-01,21600
2019-08-01,61441
2019-08-01,81310
2019-08-01,16690
2019-08-01,56483
2019-08-01,73221
2019-08-01,47021
2019-08-01,73625
2019-08-01,32286
2019-08-01,55565
2019-08-01,53425
2019-08-01,20029
2019-08-01,48799
2019-08-01,35341
2019-08-01,35803
2019-08-01,19038
2019-08-01,33381
2019-08-01,43547
2019-08-01,115639
2019-08-01,39628
2019-08-01,57707
2019-08-01,30237
2019-08-01,77395
2019-08-01,26516
2019-08-01,54299
2019-08-01,90246
2019-08-01,16614
2019-08-01,22720
2019-08-01,79807
2019-08-01,66999
2019-08-01,14668
2019-08-01,44591
2019-08-01,157289
2019-08-01,45606
2019-08-01,42122
2019-08-01,81049
2019-08-01,27569
2019-08-01,43723
2019-08-01,81070
2019-08-01,66326
2019-08-01,38849
2019-08-01,35402
2019-08-01,71761
2019-08-01,46188
2019-08-01,33397
2019-08-01,75115
2019-08-01,73242
2019-08-01,51310
2019-08-01,96902
2019-08-01,61758
2019-08-01,103977
2019-08-01,60719
2019-08-01,11575
2019-08-01,37246
2019-08-01,122411
2019-08-01,17644
2019-08-01,56967
2019-08-01,52621
2019-08-01,67117
2019-08-01,109905
2019-08-01,68766
2019-08-01,31104
2019-08-01,62005
2019-08-01,81267
2019-08-01,54118
2019-08-01,77539
2019-08-01,96882
2019-08-01,84112
2019-08-01,61569
2019-08-01,60733
2019-08-01,94727
2019-08-01,70349
2019-08-01,74425
2019-08-01,45660
2019-08-01,59764
2019-08-01,58263
2019-08-01,50531
2019-08-01,37993
2019-08-01,96824
2019-08-01,27916
2019-08-01,36170
2019-08-01,97886
2019-08-01,51893
2019-08-01,34184
2019-08-01,46729
2019-08-01,94272
2019-08-01,76393
2019-08-01,101314
2019-08-01,53449
2019-08-01,53302
2019-08-01,57946
2019-08-01,53441
2019-08-01,75133
2019-08-01,64352
2019-08-01,79540
2019-08-01,31815
2019-08-01,45644
2019-08-01,59494
2019-08-01,67322
2019-08-01,25204
2019-08-01,66412
2019-08-01,41473
2019-08-01,25151
2019-08-01,43428
2019-08-01,55539
2019-08-01,68471
2019-08-01,44888
2019-08-01,22656
2019-08-01,55244
2019-08-01,18110
2019-08-01,82039
2019-08-01,21322
2019-08-01,23357
2019-08-01,19653
2019-08-01,24779
2019-08-01,38172
2019-08-01,56836
2019-08-01,33017
2019-08-01,90958
2019-08-01,51830
2019-08-01,140683
2019-08-01,13193
2019-08-01,24656
2019-08-01,124483
2019-08-01,44170
2019-08-01,15800
2019-08-01,45866
2019-08-01,40273
2019-08-01,21836
2019-08-01,26457
2019-08-01,28810
2019-08-01,41748
2019-08-01,43997
2019-08-01,32013
2019-08-01,35920
2019-08-01,36455
2019-07-01,32653
2019-07-01,39629
2019-07-01,163469
2019-07-01,11867
2019-07-01,37237
2019-07-01,46429
2019-07-01,33256
2019-07-01,38033
2019-07-01,16546
2019-07-01,36612
2019-07-01,29731
2019-07-01,47724
2019-07-01,23104
2019-07-01,44013
2019-07-01,26976
2019-07-01,42637
2019-07-01,34432
2019-07-01,68710
2019-07-01,71163
2019-07-01,59605
2019-07-01,39609
2019-07-01,58998
2019-07-01,22715
2019-07-01,34559
2019-07-01,21729
2019-07-01,129343
2019-07-01,85042
2019-07-01,43200
2019-07-01,23596
2019-07-01,13866
2019-07-01,91975
2019-07-01,56230
2019-07-01,47084
2019-07-01,23728
2019-07-01,44438
2019-07-01,56328
2019-07-01,21110
2019-07-01,26168
2019-07-01,24758
2019-07-01,18831
2019-07-01,44564
2019-07-01,79944
2019-07-01,47019
2019-07-01,55823
2019-07-01,35097
2019-07-01,50651
2019-07-01,96052
2019-07-01,62862
2019-07-01,79810
2019-07-01,70860
2019-07-01,54739
2019-07-01,57243
2019-07-01,104879
2019-07-01,59012
2019-07-01,67559
2019-07-01,35106
2019-07-01,52953
2019-07-01,78439
2019-07-01,45693
2019-07-01,75675
2019-07-01,36787
2019-07-01,38137
2019-07-01,46241
2019-07-01,33178
2019-07-01,71767
2019-07-01,67492
2019-07-01,46225
2019-07-01,53910
2019-07-01,83145
2019-07-01,64317
2019-07-01,83677
2019-07-01,79755
2019-07-01,61341
2019-07-01,62303
2019-07-01,18848
2019-07-01,64055
2019-07-01,98137
2019-07-01,126741
2019-07-01,40113
2019-07-01,64109
2019-07-01,63529
2019-07-01,80053
2019-07-01,48166
2019-07-01,114629
2019-07-01,85436
2019-07-01,41104
2019-07-01,85816
2019-07-01,54577
2019-07-01,77564
2019-07-01,96222
2019-07-01,77073
2019-07-01,30209
2019-07-01,53602
2019-07-01,55930
2019-07-01,59873
2019-07-01,100027
2019-07-01,102390
2019-07-01,37421
2019-07-01,64395
2019-07-01,9914
2019-07-01,73975
2019-07-01,159197
2019-07-01,28287
2019-07-01,107154
2019-07-01,33549
2019-07-01,101524
2019-07-01,47512
2019-07-01,72045
2019-07-01,39106
2019-07-01,19482
2019-07-01,24038
2019-07-01,0
2019-07-01,54930
2019-07-01,21451
2019-07-01,87492
2019-07-01,36285
2019-07-01,37921
2019-07-01,120297
2019-07-01,39486
2019-07-01,77980
2019-07-01,56734
2019-07-01,44940
2019-07-01,55157
2019-07-01,16978
2019-07-01,15484
2019-07-01,27878
2019-07-01,45973
2019-07-01,17746
2019-07-01,69959
2019-07-01,93805
2019-07-01,81909
2019-07-01,79834
2019-07-01,85340
2019-07-01,34668
2019-07-01,52704
2019-07-01,76219
2019-07-01,45296
2019-07-01,20197
2019-07-01,57967
2019-07-01,60639
2019-07-01,42527
