ds,y
2015-11-01,181803
2015-11-01,606457
2015-11-01,286499
2015-11-01,386389
2015-11-01,414534
2015-11-01,599186
2015-11-01,711158
2015-11-01,1202510
2015-11-01,725770
2015-11-01,1520608
2015-10-01,683553
2015-10-01,186853
2015-10-01,610295
2015-10-01,285374
2015-10-01,381740
2015-10-01,424762
2015-10-01,583054
2015-10-01,1137174
2015-10-01,687478
2015-10-01,1501987
2015-09-01,172742
2015-09-01,575512
2015-09-01,267216
2015-09-01,353456
2015-09-01,401036
2015-09-01,520277
2015-09-01,633118
2015-09-01,1051591
2015-09-01,598763
2015-09-01,1394245
2015-08-01,160120
2015-08-01,557446
2015-08-01,250835
2015-08-01,333316
2015-08-01,386055
2015-08-01,509842
2015-08-01,699930
2015-08-01,1110675
2015-08-01,608009
2015-08-01,1378184
2015-07-01,159145
2015-07-01,560114
2015-07-01,267140
2015-07-01,357387
2015-07-01,369573
2015-07-01,531880
2015-07-01,742344
2015-07-01,1187589
2015-06-01,610354
2015-06-01,1353937
2015-06-01,1195679
2015-06-01,569150
2015-06-01,1041329
2015-06-01,587196
2015-06-01,487087
2015-06-01,334109
2015-06-01,350781
2015-06-01,253997
2015-06-01,526815
2015-06-01,157967
2015-05-01,1528601
2015-05-01,642361
2015-05-01,1152644
2015-05-01,699029
2015-05-01,574821
2015-05-01,463901
2015-05-01,377405
2015-05-01,287105
2015-05-01,634437
2015-05-01,194702
2015-04-01,186859
2015-04-01,623362
2015-04-01,295731
2015-04-01,397490
2015-04-01,422268
2015-04-01,584534
2015-04-01,690626
2015-04-01,1172311
2015-04-01,667648
2015-04-01,1520709
2015-03-01,1682965
2015-03-01,629592
2015-03-01,1226790
2015-03-01,720776
2015-03-01,595559
2015-03-01,435262
2015-03-01,405091
2015-03-01,300914
2015-03-01,642545
2015-03-01,199541
2015-02-01,1490571
2015-02-01,516568
2015-02-01,1041530
2015-02-01,654549
2015-02-01,512176
2015-02-01,368884
2015-02-01,308150
2015-02-01,252779
2015-02-01,532712
2015-02-01,164950
2015-01-01,1667163
2015-01-01,636014
2015-01-01,1288680
2015-01-01,819933
2015-01-01,599790
2015-01-01,390926
2015-01-01,363032
2015-01-01,285937
2015-01-01,602667
2015-01-01,171171
